Rk,Player,WAR,Season,Team
397,Franmil Reyes,-1,2022,"CHC,CLE"
398,Bryan Reynolds,3,2022,PIT
399,Austin Riley,6.3,2022,ATL
400,Alfonso Rivas III,0.4,2022,CHC
401,Emmanuel Rivera,1.6,2022,"ARI,KCR"
402,Anthony Rizzo,2.3,2022,NYY
403,Luis Robert Jr.,2.1,2022,CHW
404,VÃ­ctor Robles,1.8,2022,WSN
405,Brendan Rodgers,4.3,2022,COL
406,Julio RodrÃ­guez,6.2,2022,SEA
407,Miguel Rojas,2.5,2022,MIA
408,Josh Rojas,3.1,2022,ARI
409,Amed Rosario,4.2,2022,CLE
410,Keibert Ruiz,1.5,2022,WSN
411,Adley Rutschman,5.4,2022,BAL
412,Gary SÃ¡nchez,0.8,2022,MIN
413,JesÃºs SÃ¡nchez,1,2022,MIA
414,Anthony Santander,2.3,2022,BAL
415,Jonathan Schoop,-0.1,2022,DET
416,Kyle Schwarber,2.3,2022,PHI
417,Corey Seager,3.8,2022,TEX
418,Jean Segura,1.8,2022,PHI
419,Marcus Semien,5.5,2022,TEX
420,Nick Senzel,-1.1,2022,CIN
421,Gavin Sheets,-0.4,2022,CHW
422,Jose Siri,1.3,2022,"HOU,TBR"
423,Austin Slater,1.3,2022,SFG
424,Will Smith,4.4,2022,LAD
425,Juan Soto,5.5,2022,"SDP,WSN"
426,George Springer,4.1,2022,TOR
427,Jacob Stallings,-0.8,2022,MIA
428,Max Stassi,-0.6,2022,LAA
429,Trevor Story,2.5,2022,BOS
430,Bryson Stott,1.2,2022,PHI
431,Myles Straw,2.7,2022,CLE
432,Eugenio SuÃ¡rez,3.9,2022,SEA
433,Jack Suwinski,1.2,2022,PIT
434,Seiya Suzuki,1.8,2022,CHC
435,Dansby Swanson,5.5,2022,ATL
436,Raimel Tapia,0.4,2022,TOR
437,Leody Taveras,0.7,2022,TEX
438,Tyrone Taylor,2,2022,MIL
439,Chris Taylor,0.7,2022,LAD
440,Michael A. Taylor,3.2,2022,KCR
441,Rowdy Tellez,0.7,2022,MIL
442,Lane Thomas,1.6,2022,WSN
443,Alek Thomas,1.3,2022,ARI
444,Spencer Torkelson,-1.3,2022,DET
445,Gleyber Torres,4,2022,NYY
446,Jose Trevino,2.3,2022,NYY
447,Mike Trout,6.2,2022,LAA
448,Kyle Tucker,5.4,2022,HOU
449,Trea Turner,5.2,2022,LAD
450,RamÃ³n UrÃ­as,3.8,2022,BAL
451,Gio Urshela,3,2022,MIN
452,Daulton Varsho,4.8,2022,ARI
