Rk,Player,WAR,Season,Team
615,Tyler O'Neill,6.1,2021,STL
616,Rafael Ortega,2,2021,CHC
617,Shohei Ohtani,4.9,2021,LAA
618,Joc Pederson,0.1,2021,"ATL,CHC"
619,David Peralta,1.1,2021,ARI
620,Salvador Perez,5.5,2021,KCR
621,Tommy Pham,1.4,2021,SDP
622,Brett Phillips,2.3,2021,TBR
623,Kevin Pillar,0.5,2021,NYM
624,Gregory Polanco,-1.4,2021,PIT
625,Jorge Polanco,4.9,2021,MIN
626,AJ Pollock,2.9,2021,LAD
627,Buster Posey,3.5,2021,SFG
628,Jurickson Profar,0,2021,SDP
629,Harold RamÃ­rez,0.1,2021,CLE
630,JosÃ© RamÃ­rez,6.8,2021,CLE
631,J.T. Realmuto,3.5,2021,PHI
632,Hunter Renfroe,2.4,2021,BOS
633,Franmil Reyes,1.7,2021,CLE
634,Bryan Reynolds,5.9,2021,PIT
635,Austin Riley,6.3,2021,ATL
636,Anthony Rizzo,1.7,2021,"CHC,NYY"
637,VÃ­ctor Robles,-0.2,2021,WSN
638,Brendan Rodgers,1.4,2021,COL
639,Miguel Rojas,2.6,2021,MIA
640,Amed Rosario,2,2021,CLE
641,Eddie Rosario,1.1,2021,"ATL,CLE"
642,Gary SÃ¡nchez,0.7,2021,NYY
643,Miguel SanÃ³,1,2021,MIN
644,Anthony Santander,0.3,2021,BAL
645,Carlos Santana,-0.1,2021,KCR
646,Jonathan Schoop,1.9,2021,DET
647,Kyle Schwarber,3.2,2021,"BOS,WSN"
648,Corey Seager,3.6,2021,LAD
649,Kyle Seager,2,2021,SEA
650,Jean Segura,3.7,2021,PHI
651,Marcus Semien,7.1,2021,TOR
652,Pedro Severino,1,2021,BAL
653,Andrelton Simmons,1.5,2021,MIN
654,Austin Slater,1.4,2021,SFG
655,Dominic Smith,-0.7,2021,NYM
656,Pavin Smith,-0.2,2021,ARI
657,Will Smith,3.3,2021,LAD
658,Nick Solak,1,2021,TEX
659,Donovan Solano,1.1,2021,SFG
660,Jorge Soler,-0.1,2021,"ATL,KCR"
661,Juan Soto,7.1,2021,WSN
662,Jacob Stallings,3,2021,PIT
663,Giancarlo Stanton,3.1,2021,NYY
664,Max Stassi,1.8,2021,LAA
665,Trevor Story,4.2,2021,COL
666,Myles Straw,3.3,2021,"CLE,HOU"
667,Eugenio SuÃ¡rez,-0.5,2021,CIN
668,Dansby Swanson,2.1,2021,ATL
669,Raimel Tapia,0.9,2021,COL
670,Fernando Tatis Jr.,6.6,2021,SDP
671,Chris Taylor,2.5,2021,LAD
672,Michael A. Taylor,2.6,2021,KCR
673,Gleyber Torres,0.8,2021,NYY
674,Jose Trevino,0.1,2021,TEX
675,Kyle Tucker,5.7,2021,HOU
676,Trea Turner,6.4,2021,"LAD,WSN"
677,Justin Turner,3.5,2021,LAD
678,Justin Upton,-0.8,2021,LAA
679,Gio Urshela,0.6,2021,NYY
680,Andrew Vaughn,0.1,2021,CHW
681,Christian VÃ¡zquez,1.1,2021,BOS
682,Alex Verdugo,2.3,2021,BOS
683,Jonathan Villar,1.7,2021,NYM
684,Joey Votto,3.7,2021,CIN
685,LaMonte Wade Jr.,1.2,2021,SFG
686,Christian Walker,0.5,2021,ARI
687,Jared Walsh,2.8,2021,LAA
688,Joey Wendle,3.6,2021,TBR
689,Jesse Winker,2.9,2021,CIN
690,Kolten Wong,3.4,2021,MIL
691,Mike Yastrzemski,2.5,2021,SFG
692,Christian Yelich,1.3,2021,MIL
693,Bradley Zimmer,1.2,2021,CLE
694,Mike Zunino,3.7,2021,TBR
695,JosÃ© Abreu,2.5,2019,CHW
696,Ronald AcuÃ±a Jr.,5.1,2019,ATL
697,Willy Adames,3.9,2019,TBR
698,Nick Ahmed,4.2,2019,ARI
699,Hanser Alberto,3.5,2019,BAL
700,Ozzie Albies,4.9,2019,ATL
701,Jorge Alfaro,1,2019,MIA
702,Greg Allen,0.3,2019,CLE
703,Albert Almora,-0.7,2019,CHC
704,Pete Alonso,5.5,2019,NYM
705,Jose Altuve,3.8,2019,HOU
706,Tim Anderson,4.2,2019,CHW
707,Elvis Andrus,1.5,2019,TEX
708,Orlando Arcia,-0.7,2019,MIL
709,Nolan Arenado,7.3,2019,COL
710,Harrison Bader,2.3,2019,STL
711,Javier BÃ¡ez,6.6,2019,CHC
712,Tucker Barnhart,0.5,2019,CIN
713,Josh Bell,2.8,2019,PIT
714,Cody Bellinger,8.6,2019,LAD
715,Brandon Belt,0.5,2019,SFG
716,Andrew Benintendi,1.8,2019,BOS
717,Mookie Betts,7.3,2019,BOS
718,Cavan Biggio,3,2019,TOR
719,Charlie Blackmon,2.3,2019,COL
720,Xander Bogaerts,6.3,2019,BOS
721,Jackie Bradley Jr.,2,2019,BOS
722,Michael Brantley,4.8,2019,HOU
723,Ryan Braun,1.7,2019,MIL
724,Alex Bregman,8.9,2019,HOU
725,Keon Broxton,-0.6,2019,"BAL,NYM,SEA"
726,Kris Bryant,4.4,2019,CHC
727,Byron Buxton,3,2019,MIN
728,AsdrÃºbal Cabrera,0.7,2019,"TEX,WSN"
729,Melky Cabrera,-1.3,2019,PIT
730,Miguel Cabrera,0,2019,DET
731,Lorenzo Cain,2.6,2019,MIL
732,Kole Calhoun,1.6,2019,LAA
733,Mark Canha,4.2,2019,OAK
734,Robinson CanÃ³,0.6,2019,NYM
735,Matt Carpenter,1.1,2019,STL
736,Nick Castellanos,2.8,2019,"CHC,DET"
737,Starlin Castro,1.1,2019,MIA
738,Matt Chapman,7.8,2019,OAK
739,Robinson Chirinos,3.9,2019,HOU
740,Jiman Choi,2.1,2019,TBR
741,Shin-Soo Choo,1.6,2019,TEX
742,Michael Conforto,3.6,2019,NYM
743,Willson Contreras,3.2,2019,CHC
744,Ryan Cordell,-0.6,2019,CHW
745,J.P. Crawford,1.6,2019,SEA
746,Brandon Crawford,-0.5,2019,SFG
747,C.J. Cron,1.4,2019,MIN
748,Nelson Cruz,4.4,2019,MIN
749,David Dahl,0.8,2019,COL
750,Travis d'Arnaud,1,2019,"LAD,NYM,TBR"
751,Khris Davis,-0.2,2019,OAK
752,Chris Davis,-1,2019,BAL
753,Paul DeJong,5.3,2019,STL
754,Delino DeShields,1.3,2019,TEX
755,Ian Desmond,-1.5,2019,COL
756,Rafael Devers,5.4,2019,BOS
757,Elias DÃ­az,-1.1,2019,PIT
758,Josh Donaldson,5.4,2019,ATL
759,Hunter Dozier,2.8,2019,KCR
760,Brian Dozier,1.3,2019,WSN
761,Jarrod Dyson,1.4,2019,ARI
762,Adam Eaton,1.8,2019,WSN
763,Adam Engel,0.9,2019,CHW
764,Phil Ervin,0.9,2019,CIN
765,Eduardo Escobar,3.3,2019,ARI
766,David Fletcher,3.8,2019,LAA
767,Tyler Flowers,-0.2,2019,ATL
768,Dexter Fowler,1.4,2019,STL
769,Maikel Franco,-0.2,2019,PHI
770,Adam Frazier,2.5,2019,PIT
771,Todd Frazier,2.1,2019,NYM
772,Freddie Freeman,3.7,2019,ATL
773,Freddy Galvis,3.1,2019,"CIN,TOR"
774,Ben Gamel,0.6,2019,MIL
775,AvisaÃ­l GarcÃ­a,2.2,2019,TBR
776,Leury GarcÃ­a,1.3,2019,CHW
777,Brett Gardner,4.3,2019,NYY
778,Mitch Garver,4.1,2019,MIN
779,Paul Goldschmidt,2.6,2019,STL
780,Yan Gomes,1.4,2019,WSN
781,Brian Goodwin,2.2,2019,LAA
782,Alex Gordon,0.9,2019,KCR
783,Yuli Gurriel,3.9,2019,HOU
784,Yasmani Grandal,2.4,2019,MIL
785,Curtis Granderson,-0.6,2019,MIA
786,Didi Gregorius,0.4,2019,NYY
787,Randal Grichuk,0.7,2019,TOR
788,Robbie Grossman,1,2019,OAK
789,Vladimir Guerrero Jr.,2.1,2019,TOR
790,Ronald GuzmÃ¡n,0,2019,TEX
791,Billy Hamilton,0.4,2019,"ATL,KCR"
792,Bryce Harper,4.4,2019,PHI
793,Austin Hedges,-0.7,2019,SDP
794,Teoscar HernÃ¡ndez,1.4,2019,TOR
795,CÃ©sar HernÃ¡ndez,1.9,2019,PHI
796,KikÃ© HernÃ¡ndez,2,2019,LAD
797,Jason Heyward,2.4,2019,CHC
798,Keston Hiura,1.9,2019,MIL
799,Rhys Hoskins,2,2019,PHI
800,Eric Hosmer,-0.5,2019,SDP
801,Jose Iglesias,1,2019,CIN
802,Danny Jansen,1.1,2019,TOR
803,Eloy JimÃ©nez,1.5,2019,CHW
804,Adam Jones,-0.8,2019,ARI
805,JaCoby Jones,-0.1,2019,DET
806,Matt Joyce,0.8,2019,ATL
807,Aaron Judge,5.6,2019,NYY
808,Carson Kelly,1.7,2019,ARI
809,Max Kepler,4,2019,MIN
810,Kevin Kiermaier,2.4,2019,TBR
811,Jason Kipnis,0.6,2019,CLE
812,Juan Lagares,-0.7,2019,NYM
813,RamÃ³n Laureano,3.5,2019,OAK
814,Francisco Lindor,4.8,2019,CLE
815,Evan Longoria,2.4,2019,SFG
816,Jonathan Lucroy,-1,2019,"CHC,LAA"
817,Manny Machado,2.6,2019,SDP
818,MartÃ­n Maldonado,1.2,2019,"CHC,HOU,KCR"
819,Trey Mancini,3.7,2019,BAL
820,Manuel Margot,1.9,2019,SDP
821,Jake Marisnick,1.5,2019,HOU
822,Nick Markakis,0.7,2019,ATL
823,Ketel Marte,6.9,2019,ARI
824,Starling Marte,2.9,2019,PIT
825,J.D. Martinez,3.5,2019,BOS
826,Richie Martin,-1,2019,BAL
827,Jeff Mathis,-1.5,2019,TEX
828,Nomar Mazara,1,2019,TEX
829,Brian McCann,0.2,2019,ATL
830,James McCann,3.6,2019,CHW
831,Ryan McMahon,1.7,2019,COL
832,Jeff McNeil,5.1,2019,NYM
833,Austin Meadows,3.9,2019,TBR
834,Ã“scar Mercado,2.3,2019,CLE
835,Whit Merrifield,3.6,2019,KCR
836,Yadier Molina,1.3,2019,STL
837,YoÃ¡n Moncada,5.2,2019,CHW
838,Adalberto MondesÃ­,2.1,2019,KCR
839,Colin Moran,-1,2019,PIT
840,Mitch Moreland,1.3,2019,BOS
841,Mike Moustakas,2.6,2019,MIL
842,Daniel Murphy,0.6,2019,COL
843,Wil Myers,-0.4,2019,SDP
844,Tyler Naquin,1.4,2019,CLE
845,Omar NarvÃ¡ez,2.2,2019,SEA
846,Kevin Newman,3,2019,PIT
847,Renato NÃºÃ±ez,0.4,2019,BAL
848,Rougned Odor,-0.3,2019,TEX
849,Ryan O'Hearn,-1.5,2019,KCR
850,Matt Olson,4.9,2019,OAK
851,Shohei Ohtani,2.5,2019,LAA
852,Marcell Ozuna,2.3,2019,STL
853,Joe Panik,-0.7,2019,"NYM,SFG"
854,Joc Pederson,2.8,2019,LAD
855,David Peralta,1.6,2019,ARI
856,Roberto PÃ©rez,4,2019,CLE
857,Tommy Pham,3.9,2019,TBR
858,Josh Phegley,0.3,2019,OAK
859,Kevin Pillar,0.4,2019,"SFG,TOR"
860,Stephen Piscotty,0.9,2019,OAK
861,Jorge Polanco,4.7,2019,MIN
862,AJ Pollock,0.1,2019,LAD
863,Buster Posey,0.8,2019,SFG
864,Jurickson Profar,-0.1,2019,OAK
865,Yasiel Puig,0.9,2019,"CIN,CLE"
866,Albert Pujols,0.3,2019,LAA
867,Harold RamÃ­rez,0.1,2019,MIA
868,JosÃ© RamÃ­rez,3.1,2019,CLE
869,Wilson Ramos,2.1,2019,NYM
870,J.T. Realmuto,4.5,2019,PHI
871,Josh Reddick,1.3,2019,HOU
872,Anthony Rendon,7.1,2019,WSN
873,Hunter Renfroe,2.4,2019,SDP
874,Luis Rengifo,1.1,2019,LAA
875,Franmil Reyes,0.3,2019,"CLE,SDP"
876,Bryan Reynolds,4.2,2019,PIT
877,Anthony Rizzo,4.3,2019,CHC
878,VÃ­ctor Robles,4.4,2019,WSN
879,Miguel Rojas,0.9,2019,MIA
880,Amed Rosario,3,2019,NYM
881,Eddie Rosario,1.5,2019,MIN
882,Rio Ruiz,0.3,2019,BAL
883,Gary SÃ¡nchez,3.1,2019,NYY
884,Yolmer SÃ¡nchez,1.4,2019,CHW
885,Miguel SanÃ³,2.5,2019,MIN
886,Anthony Santander,1.5,2019,BAL
887,Carlos Santana,4.5,2019,CLE
888,Domingo Santana,0.5,2019,SEA
889,Jonathan Schoop,1.5,2019,MIN
890,Kyle Schwarber,2.3,2019,CHC
891,Corey Seager,2.9,2019,LAD
892,Kyle Seager,3.2,2019,SEA
893,Jean Segura,1.7,2019,PHI
894,Marcus Semien,8.5,2019,OAK
895,Nick Senzel,0.1,2019,CIN
896,Pedro Severino,1.1,2019,BAL
897,Andrelton Simmons,1.5,2019,LAA
898,Dwight Smith Jr.,-0.5,2019,BAL
899,Mallex Smith,0,2019,SEA
900,Justin Smoak,0.7,2019,TOR
901,Jorge Soler,3.5,2019,KCR
902,Juan Soto,5,2019,WSN
903,George Springer,6.4,2019,HOU
904,Christin Stewart,-0.3,2019,DET
905,Trevor Story,7,2019,COL
906,Dee Strange-Gordon,1.1,2019,SEA
907,Eugenio SuÃ¡rez,3.4,2019,CIN
908,Dansby Swanson,1.1,2019,ATL
909,Raimel Tapia,-0.6,2019,COL
910,Fernando Tatis Jr.,4.2,2019,SDP
911,Mike Tauchman,4,2019,NYY
912,Eric Thames,1.4,2019,MIL
913,Mike Trout,7.9,2019,LAA
914,Trea Turner,4,2019,WSN
915,Justin Turner,3.8,2019,LAD
916,Gio Urshela,3.8,2019,NYY
917,Christian VÃ¡zquez,2.3,2019,BOS
918,Alex Verdugo,3,2019,LAD
919,Jonathan Villar,4.3,2019,BAL
920,Daniel Vogelbach,1.1,2019,SEA
921,Luke Voit,1.3,2019,NYY
922,Joey Votto,1.4,2019,CIN
923,Christian Walker,2.8,2019,ARI
924,Stevie Wilkerson,-0.7,2019,BAL
925,Jesse Winker,0.9,2019,CIN
926,Tony Wolters,1.7,2019,COL
927,Kolten Wong,5.1,2019,STL
928,Mike Yastrzemski,2.6,2019,SFG
929,Christian Yelich,7,2019,MIL
930,Mike Zunino,-0.2,2019,TBR
931,JosÃ© Abreu,2,2018,CHW
932,Ronald AcuÃ±a Jr.,3.9,2018,ATL
933,JesÃºs Aguilar,3.4,2018,MIL
934,Nick Ahmed,4.1,2018,ARI
935,Ozzie Albies,4.1,2018,ATL
936,Jorge Alfaro,1.6,2018,PHI
937,Greg Allen,0.4,2018,CLE
938,Albert Almora,2.2,2018,CHC
939,Yonder Alonso,1.5,2018,CLE
940,Jose Altuve,5.1,2018,HOU
941,Tim Anderson,3.7,2018,CHW
942,Brian Anderson,3,2018,MIA
943,Elvis Andrus,1.7,2018,TEX
944,Miguel Andujar,2.9,2018,NYY
945,Orlando Arcia,0.4,2018,MIL
946,Nolan Arenado,6.4,2018,COL
947,Harrison Bader,3.4,2018,STL
948,Javier BÃ¡ez,6.4,2018,CHC
949,Tucker Barnhart,0.8,2018,CIN
950,Josh Bell,0.7,2018,PIT
951,Cody Bellinger,4.2,2018,LAD
952,Brandon Belt,2.5,2018,SFG
953,Andrew Benintendi,4.8,2018,BOS
954,Mookie Betts,10.7,2018,BOS
955,Charlie Blackmon,1,2018,COL
956,Xander Bogaerts,4.9,2018,BOS
957,Justin Bour,0.2,2018,"MIA,PHI"
958,Jackie Bradley Jr.,2.5,2018,BOS
959,Michael Brantley,3.8,2018,CLE
960,Ryan Braun,0.9,2018,MIL
961,Alex Bregman,7.9,2018,HOU
962,Lewis Brinson,-1,2018,MIA
963,Kris Bryant,2.3,2018,CHC
964,AsdrÃºbal Cabrera,1,2018,"NYM,PHI"
965,Lorenzo Cain,6.9,2018,MIL
966,Kole Calhoun,0,2018,LAA
967,Johan Camargo,3.2,2018,ATL
968,Jeimer Candelario,0.9,2018,DET
969,Mark Canha,1.7,2018,OAK
970,Matt Carpenter,4.4,2018,STL
971,Nick Castellanos,2.8,2018,DET
972,Starlin Castro,1.7,2018,MIA
973,Jake Cave,1.7,2018,MIN
974,Francisco Cervelli,2.9,2018,PIT
975,Matt Chapman,7.6,2018,OAK
976,Robinson Chirinos,1.7,2018,TEX
977,Shin-Soo Choo,2.7,2018,TEX
978,Michael Conforto,2.7,2018,NYM
979,Willson Contreras,3.1,2018,CHC
980,Carlos Correa,3.1,2018,HOU
981,Brandon Crawford,1.5,2018,SFG
982,Nelson Cruz,2.9,2018,SEA
983,Khris Davis,2.9,2018,OAK
984,Chris Davis,-3.3,2018,BAL
985,Paul DeJong,2.9,2018,STL
986,Delino DeShields,1.2,2018,TEX
987,Ian Desmond,-0.1,2018,COL
988,Rafael Devers,0.2,2018,BOS
989,Aledmys DÃ­az,2.1,2018,TOR
990,Corey Dickerson,3.6,2018,PIT
991,Derek Dietrich,-0.3,2018,MIA
992,Wilmer Difo,-0.2,2018,WSN
993,Brian Dozier,1,2018,"LAD,MIN"
994,Matt Duffy,2.9,2018,TBR
995,Adam Duvall,0.8,2018,"ATL,CIN"
996,Edwin EncarnaciÃ³n,1.9,2018,CLE
997,Adam Engel,1.2,2018,CHW
998,Alcides Escobar,-2.2,2018,KCR
999,Eduardo Escobar,3.1,2018,"ARI,MIN"
1000,Wilmer Flores,0.8,2018,NYM
1001,Logan Forsythe,0,2018,"LAD,MIN"
1002,Maikel Franco,0.4,2018,PHI
1003,Todd Frazier,2.5,2018,NYM
1004,Freddie Freeman,5.5,2018,ATL
1005,Joey Gallo,2.4,2018,TEX
1006,Freddy Galvis,1.9,2018,SDP
1007,Ben Gamel,0.5,2018,SEA
1008,AvisaÃ­l GarcÃ­a,0.5,2018,CHW
1009,Brett Gardner,3.3,2018,NYY
1010,Mitch Garver,1,2018,MIN
1011,Evan Gattis,0.2,2018,HOU
1012,Scooter Gennett,3,2018,CIN
1013,Paul Goldschmidt,5.5,2018,ARI
1014,Yan Gomes,2.7,2018,CLE
1015,Carlos GÃ³mez,0.7,2018,TBR
1016,Carlos GonzÃ¡lez,0.8,2018,COL
1017,Alex Gordon,2,2018,KCR
1018,Yuli Gurriel,2.7,2018,HOU
1019,Yasmani Grandal,3.6,2018,LAD
1020,Curtis Granderson,1,2018,"MIL,TOR"
1021,Didi Gregorius,4.9,2018,NYY
1022,Randal Grichuk,2.5,2018,TOR
1023,Robbie Grossman,1.5,2018,MIN
1024,Brandon Guyer,-0.2,2018,CLE
1025,Ronald GuzmÃ¡n,0.8,2018,TEX
1026,Jedd Gyorko,0.8,2018,STL
1027,Billy Hamilton,0.7,2018,CIN
1028,Mitch Haniger,6.5,2018,SEA
1029,Ian Happ,0.8,2018,CHC
1030,Bryce Harper,1.8,2018,WSN
1031,Josh Harrison,0.5,2018,PIT
1032,Ryon Healy,-0.6,2018,SEA
1033,Adeiny HechavarrÃ­a,0.6,2018,"NYY,PIT,TBR"
1034,Austin Hedges,1.2,2018,SDP
1035,Guillermo Heredia,0.4,2018,SEA
1036,Teoscar HernÃ¡ndez,0.5,2018,TOR
1037,CÃ©sar HernÃ¡ndez,2.1,2018,PHI
1038,KikÃ© HernÃ¡ndez,3.5,2018,LAD
1039,Gorkys HernÃ¡ndez,0.2,2018,SFG
1040,OdÃºbel Herrera,0.5,2018,PHI
1041,Jason Heyward,2.1,2018,CHC
1042,Aaron Hicks,4.4,2018,NYY
1043,Rhys Hoskins,1.1,2018,PHI
1044,Eric Hosmer,0.9,2018,SDP
1045,Nick Hundley,0.3,2018,SFG
1046,Chris Iannetta,-0.6,2018,COL
1047,Jose Iglesias,2,2018,DET
1048,Ender Inciarte,3.2,2018,ATL
1049,Austin Jackson,-1.4,2018,"NYM,SFG"
1050,Travis Jankowski,1.3,2018,SDP
1051,Jon Jay,0.5,2018,"ARI,KCR"
1052,Adam Jones,0.6,2018,BAL
1053,JaCoby Jones,1.8,2018,DET
1054,Caleb Joseph,0.3,2018,BAL
1055,Aaron Judge,5.9,2018,NYY
1056,Tony Kemp,0.6,2018,HOU
1057,Matt Kemp,1.2,2018,LAD
1058,Max Kepler,3.5,2018,MIN
1059,Kevin Kiermaier,2.3,2018,TBR
1060,Scott Kingery,-0.6,2018,PHI
1061,Ian Kinsler,2.4,2018,"BOS,LAA"
1062,Jason Kipnis,1.2,2018,CLE
1063,Tommy La Stella,0.1,2018,CHC
1064,DJ LeMahieu,2.9,2018,COL
1065,Sandy LeÃ³n,-0.5,2018,BOS
1066,Francisco Lindor,7.2,2018,CLE
1067,Evan Longoria,1.4,2018,SFG
1068,Jed Lowrie,4,2018,OAK
1069,Jonathan Lucroy,-0.6,2018,OAK
1070,Manny Machado,6.1,2018,"BAL,LAD"
1071,MartÃ­n Maldonado,0.4,2018,"HOU,LAA"
1072,Trey Mancini,0.8,2018,BAL
1073,Manuel Margot,1.3,2018,SDP
1074,Jake Marisnick,1.8,2018,HOU
1075,Nick Markakis,2.6,2018,ATL
1076,Ketel Marte,3.9,2018,ARI
1077,Starling Marte,4,2018,PIT
1078,Victor Martinez,-1.3,2018,DET
1079,J.D. Martinez,6.7,2018,BOS
1080,Leonys MartÃ­n,1.7,2018,"CLE,DET"
1081,JosÃ© MartÃ­nez,1.8,2018,STL
1082,Joe Mauer,1.4,2018,MIN
1083,Cameron Maybin,0.6,2018,"MIA,SEA"
1084,Nomar Mazara,0.5,2018,TEX
1085,James McCann,-0.7,2018,DET
1086,Andrew McCutchen,2.5,2018,"NYY,SFG"
1087,Jordy Mercer,0.5,2018,PIT
1088,Whit Merrifield,4.5,2018,KCR
1089,Yadier Molina,1.5,2018,STL
1090,YoÃ¡n Moncada,1.4,2018,CHW
1091,Kendrys Morales,0.8,2018,TOR
1092,Colin Moran,0.8,2018,PIT
1093,Mitch Moreland,1.5,2018,BOS
1094,Mike Moustakas,2,2018,"KCR,MIL"
1095,Max Muncy,4.3,2018,LAD
1096,Omar NarvÃ¡ez,1.8,2018,CHW
1097,Brandon Nimmo,4.6,2018,NYM
1098,Rougned Odor,2.5,2018,TEX
1099,Matt Olson,3.7,2018,OAK
1100,Shohei Ohtani,2.7,2018,LAA
1101,Marcell Ozuna,2.4,2018,STL
1102,Joe Panik,-0.3,2018,SFG
1103,Gerardo Parra,0.4,2018,COL
1104,Joc Pederson,2.2,2018,LAD
1105,David Peralta,3.4,2018,ARI
1106,JosÃ© Peraza,2.2,2018,CIN
1107,Salvador Perez,2.3,2018,KCR
1108,Tommy Pham,3.4,2018,"STL,TBR"
1109,Kevin Pillar,2.3,2018,TOR
1110,Manny PiÃ±a,1.1,2018,MIL
1111,Stephen Piscotty,2.9,2018,OAK
1112,Gregory Polanco,2.2,2018,PIT
1113,AJ Pollock,2.2,2018,ARI
1114,Buster Posey,2.8,2018,SFG
1115,Yasiel Puig,2.3,2018,LAD
1116,JosÃ© RamÃ­rez,7.5,2018,CLE
1117,Wilson Ramos,2.5,2018,"PHI,TBR"
1118,J.T. Realmuto,4.5,2018,MIA
1119,Josh Reddick,1.7,2018,HOU
1120,Anthony Rendon,5.1,2018,WSN
1121,Hunter Renfroe,2.4,2018,SDP
1122,JT Riddle,1.5,2018,MIA
1123,Anthony Rizzo,3.1,2018,CHC
1124,Miguel Rojas,1.1,2018,MIA
1125,Amed Rosario,1.1,2018,NYM
1126,Eddie Rosario,4.3,2018,MIN
1127,Addison Russell,2.4,2018,CHC
1128,Yolmer SÃ¡nchez,2.5,2018,CHW
1129,Carlos Santana,2,2018,PHI
1130,Scott Schebler,0.9,2018,CIN
1131,Jonathan Schoop,2.4,2018,"BAL,MIL"
1132,Kyle Schwarber,2.1,2018,CHC
1133,Kyle Seager,1.1,2018,SEA
1134,Jean Segura,3.7,2018,SEA
1135,Marcus Semien,4.4,2018,OAK
1136,Travis Shaw,4.5,2018,MIL
1137,Andrelton Simmons,5.7,2018,LAA
1138,Mallex Smith,3.5,2018,TBR
1139,Justin Smoak,2.5,2018,TOR
1140,Yangervis Solarte,-0.3,2018,TOR
1141,Juan Soto,3,2018,WSN
1142,Denard Span,2,2018,"SEA,TBR"
1143,George Springer,2.9,2018,HOU
1144,Giancarlo Stanton,4.4,2018,NYY
1145,Max Stassi,1.1,2018,HOU
1146,Trevor Story,6.2,2018,COL
1147,Dee Strange-Gordon,1.2,2018,SEA
1148,Eugenio SuÃ¡rez,4,2018,CIN
1149,Kurt Suzuki,2.1,2018,ATL
1150,Dansby Swanson,2.2,2018,ATL
1151,Chris Taylor,4.3,2018,LAD
1152,Michael A. Taylor,1.3,2018,WSN
1153,Gleyber Torres,3.6,2018,NYY
1154,Devon Travis,0.7,2018,TOR
1155,Mike Trout,9.9,2018,LAA
1156,Trea Turner,4.7,2018,WSN
1157,Justin Turner,4.7,2018,LAD
1158,Justin Upton,3.7,2018,LAA
1159,Christian Villanueva,1.8,2018,SDP
1160,Jonathan Villar,2.9,2018,"BAL,MIL"
1161,Joey Votto,3.6,2018,CIN
1162,Joey Wendle,4.9,2018,TBR
1163,Nick Williams,-0.5,2018,PHI
1164,Kolten Wong,2.9,2018,STL
1165,Christian Yelich,7.3,2018,MIL
1166,Ben Zobrist,3.5,2018,CHC
1167,Mike Zunino,1.9,2018,SEA
1168,JosÃ© Abreu,4.9,2017,CHW
1169,Albert Almora,1.4,2017,CHC
1170,Yonder Alonso,2.1,2017,"OAK,SEA"
1171,Aaron Altherr,1.7,2017,PHI
1172,Jose Altuve,7.7,2017,HOU
1173,Tim Anderson,-0.4,2017,CHW
1174,Elvis Andrus,5.4,2017,TEX
1175,Nori Aoki,0.7,2017,"HOU,NYM,TOR"
1176,Orlando Arcia,2.3,2017,MIL
1177,Nolan Arenado,6.7,2017,COL
1178,Carlos Asuaje,0.7,2017,SDP
1179,Erick Aybar,-0.3,2017,SDP
1180,Javier BÃ¡ez,2.6,2017,CHC
1181,Tucker Barnhart,3.6,2017,CIN
1182,JosÃ© Bautista,-1,2017,TOR
1183,Tim Beckham,2.5,2017,"BAL,TBR"
1184,Josh Bell,0.7,2017,PIT
1185,Cody Bellinger,3.9,2017,LAD
1186,Brandon Belt,2.8,2017,SFG
1187,Carlos BeltrÃ¡n,-0.8,2017,HOU
1188,Andrew Benintendi,2.8,2017,BOS
1189,Mookie Betts,6.4,2017,BOS
1190,Charlie Blackmon,5.5,2017,COL
1191,Xander Bogaerts,2.3,2017,BOS
1192,Jorge Bonifacio,0.4,2017,KCR
1193,Justin Bour,2.5,2017,MIA
1194,Peter Bourjos,0.6,2017,TBR
1195,Jackie Bradley Jr.,3.4,2017,BOS
1196,Michael Brantley,2.4,2017,CLE
1197,Ryan Braun,0.9,2017,MIL
1198,Alex Bregman,4,2017,HOU
1199,Keon Broxton,0.5,2017,MIL
1200,Jay Bruce,2.8,2017,"CLE,NYM"
1201,Kris Bryant,5.7,2017,CHC
1202,Byron Buxton,4.9,2017,MIN
1203,Melky Cabrera,-0.2,2017,"CHW,KCR"
1204,Miguel Cabrera,-0.9,2017,DET
1205,Lorenzo Cain,5.5,2017,KCR
1206,Kole Calhoun,2,2017,LAA
1207,Robinson CanÃ³,2.9,2017,SEA
1208,Matt Carpenter,2.8,2017,STL
1209,Ezequiel Carrera,-0.1,2017,TOR
1210,Nick Castellanos,0.1,2017,DET
1211,Welington Castillo,2.3,2017,BAL
1212,Jason Castro,2.6,2017,MIN
1213,Starlin Castro,2,2017,NYY
1214,Matt Chapman,3.2,2017,OAK
1215,Robinson Chirinos,2.5,2017,TEX
1216,Michael Conforto,3.7,2017,NYM
1217,Willson Contreras,3.9,2017,CHC
1218,Carlos Correa,6.7,2017,HOU
1219,Zack Cozart,5.2,2017,CIN
1220,Brandon Crawford,2.1,2017,SFG
1221,C.J. Cron,1.1,2017,LAA
1222,Nelson Cruz,4.3,2017,SEA
1223,Travis d'Arnaud,1.2,2017,NYM
1224,Khris Davis,2.7,2017,OAK
1225,Rajai Davis,0.4,2017,"BOS,OAK"
1226,Chris Davis,-0.6,2017,BAL
1227,Paul DeJong,2.7,2017,STL
