Player,Season,Games_Played,All-Star,Plate_Appearances,At_Bats,Runs,Hits,Home_Run,Runs_Batted_In,Stolen_Bases,Walks,Strikeouts,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging_Plus_(OPS+),Pos,Standings,WAR,PIE_Score
Ian Kinsler,-0.22556308210167228,0.33725895326360444,0,0.7789368530001717,0.8102111354899532,1.154625832022492,0.22553088634330842,0.5053539237105191,-0.3937083733741123,0.6325268943580099,0.5019762990366899,-0.5415666943799823,-0.7988232466142977,-0.4457086647685897,-0.24735999522600471,-0.5501549671670148,-0.7262291858695821,1.8030560026450284,-0.1726202152819582,0.9068486109391437
Ichiro Suzuki,-0.22556308210167228,0.19566447831459627,0,-2.492650454000617,-2.4785008127817028,-2.0191721475023763,-2.0016962114230505,-1.3863265447855873,-1.727864075356024,-0.7458116820324114,-1.3116646793176205,-2.053728517431873,-0.1672262601694703,-0.30313863374371514,-1.4104702230666042,-1.085645652668094,1.7419737297047526,0.3955995445504055,-1.2445913074000914,-3.5616398383458447
J.T. Realmuto,-0.22556308210167228,0.43165526989627656,0,0.4994545202413104,0.6341955664275265,0.1711954721697159,0.7266569833407392,0.007543274106280563,0.14829238055603944,-0.0036293716683383583,-0.4048441901404653,0.05143794211095509,0.5973385128953209,0.09605745312593368,0.3196562408462883,0.27367685668079944,-1.548963491061027,0.3955995445504055,0.9968027943014599,1.0518682079185724
Jackie Bradley Jr.,-0.22556308210167228,0.05407000336558807,0,0.18709191304023,0.17099670047377213,-0.27581832776336423,-0.1085531783216454,0.007543274106280563,0.06490764918216994,-0.0036293716683383583,0.1678845398661591,0.5851421149527988,-0.4996457267193795,-0.16056860271884055,-0.3927487737060791,-0.673729740744187,0.9192394245133076,-1.1291449517187693,0.5095432069750356,-0.5852715214213897
Jacoby Ellsbury,-0.22556308210167228,-0.9370913212774692,0,-0.8979571435529963,-0.9962644417296889,0.03709133218979186,-0.776721307651553,-0.9880780251021966,-0.9357091273042639,1.4807352490598078,-0.16620721930437182,-1.2235220263445603,0.131951259725448,0.5522815524055308,-0.3927487737060791,-0.34419701120506124,0.9192394245133076,-0.7772808371951135,-0.270072132747243,-1.4323499226405396
Jake Lamb,-0.22556308210167228,0.8092405364269651,1,0.959778362432376,0.6712514757038268,1.109924452029184,0.30905190250954695,1.301850963077301,1.8159870080334295,-0.2156814603437878,2.029252912387688,1.415348606040111,-0.39991988675440676,0.8089076082503049,0.843055843374558,0.27367685668079944,-0.31486203327385964,-1.0118569135442173,-0.1726202152819582,1.2063425726927355
Jake Marisnick,-0.22556308210167228,-1.2202802711754857,0,-2.130967435136208,-2.1635255839331498,-0.6334293677098283,-1.8346541790905735,-0.09201885581456715,-1.1024785900520029,0.10239667266938636,-1.1684824968159644,-0.4229657670817948,-0.5661296200293613,-0.27462462753874023,0.9739057440066256,0.5620179950275344,0.9192394245133076,-1.363721028067873,-0.1726202152819582,-2.155467361170613
James McCann,-0.22556308210167228,-1.2202802711754857,0,-1.0459183785429815,-1.0333203510059894,-1.1251445476362163,-0.9159230012619505,-0.3907052455771103,-0.5187854704349165,-0.7458116820324114,-0.8821181318126523,-0.4526159989063417,-0.23371015347945215,-0.30313863374371514,-0.20374336168198218,-0.46777178478223336,-1.548963491061027,1.8030560026450284,-0.46497596767781274,-1.3455461891772962
Jarrod Dyson,-0.22556308210167228,-0.9842894795938052,0,-1.0541384471535364,-1.0889042149204398,-0.36522108774998024,-0.9716036787061094,-1.187202284943892,-1.3109404184866764,2.1168915150861563,-0.786663343478215,-1.460723880940935,-0.300194046789434,-0.13205459651386564,-1.14877042180247,-0.8384961055137499,0.9192394245133076,0.2783115063758536,0.1684614958465388,-1.4529932281798652
Jason Castro,-0.22556308210167228,-1.0314876379101412,0,-0.9143972807741058,-0.9962644417296889,-0.6781307477031363,-0.9994440174281889,-0.6893916353396534,-0.602170201808786,-0.8518377263701361,0.024702357364502974,0.11073840576004883,-0.5993715666843522,0.1245714593309086,-0.5962930635781843,-0.5089633759746242,-1.548963491061027,-0.4254167226714578,0.11973553711389633,-2.043467047461248
